energy,s008,s009,s010,s011,s012,s013,s014,s015,mean
2.476430000000000291e+03,5.535157000000000549e-01,5.572276000000000451e-01,5.242525000000000102e-01,5.980102000000000473e-01,5.766295999999999644e-01,5.133957000000000104e-01,5.856759000000000270e-01,6.164503999999999539e-01,5.656447000000000003e-01
2.476670000000000073e+03,6.805487000000000064e-01,6.186431999999999487e-01,6.736007000000000522e-01,6.328734000000000304e-01,5.794097999999999749e-01,6.185209999999999875e-01,6.415650000000000519e-01,7.080528000000000377e-01,6.441518250000000112e-01
2.476919999999999618e+03,7.586821999999999733e-01,6.869142999999999777e-01,6.993804000000000132e-01,7.425336999999999632e-01,6.944067999999999907e-01,6.624311999999999978e-01,7.082161000000000151e-01,6.814630999999999883e-01,7.042534750000000177e-01
2.477159999999999854e+03,7.523334999999999884e-01,7.304095999999999922e-01,7.656161000000000216e-01,7.505323999999999884e-01,6.900070999999999843e-01,7.352431999999999856e-01,7.426726999999999634e-01,7.970310000000000450e-01,7.454806999999998851e-01
2.477409999999999854e+03,8.529198000000000057e-01,7.855195999999999845e-01,8.891054000000000457e-01,8.439750999999999781e-01,7.172351999999999617e-01,7.495627999999999735e-01,7.677553000000000294e-01,8.289976000000000012e-01,8.043838500000000113e-01
2.477650000000000091e+03,7.371372000000000480e-01,8.647981999999999614e-01,9.231230000000000269e-01,7.555851000000000095e-01,8.139539999999999553e-01,8.134784000000000459e-01,7.627057000000000420e-01,8.839354999999999851e-01,8.193396374999999399e-01
2.477900000000000091e+03,9.033037000000000427e-01,9.136805000000000065e-01,8.478050999999999782e-01,8.294953999999999938e-01,7.293410999999999644e-01,8.155156999999999545e-01,8.529314000000000062e-01,9.195630999999999666e-01,8.514545000000000030e-01
2.478139999999999873e+03,8.980282000000000542e-01,8.870310999999999613e-01,8.668508999999999798e-01,8.666260999999999548e-01,7.389367000000000019e-01,8.777500000000000302e-01,8.376624000000000292e-01,8.497563000000000200e-01,8.528302124999999068e-01
2.478389999999999873e+03,8.362070000000000336e-01,8.216972999999999638e-01,9.207745999999999986e-01,8.469685999999999604e-01,8.142576999999999732e-01,8.013244999999999951e-01,8.439001999999999892e-01,8.776983000000000423e-01,8.453535249999999390e-01
2.478630000000000109e+03,8.639191999999999982e-01,8.686437999999999660e-01,8.441583999999999754e-01,8.745830999999999467e-01,7.731489999999999752e-01,8.760396000000000294e-01,8.609799999999999676e-01,7.082772999999999985e-01,8.337187999999999821e-01
