energy,s050,s051,s052,s053,s054,mean
2.487769999999999982e+03,7.625885000000000025e-01,8.609831000000000012e-01,7.843643000000000143e-01,8.225774000000000141e-01,7.040037999999999574e-01,7.869034200000000201e-01
2.488019999999999982e+03,7.759449000000000485e-01,7.858471000000000206e-01,8.259199000000000401e-01,8.817620999999999931e-01,8.195362999999999953e-01,8.178020599999999973e-01
2.488269999999999982e+03,8.638417999999999930e-01,7.234829999999999872e-01,7.711603999999999681e-01,7.452324000000000170e-01,8.237889000000000461e-01,7.855012999999999579e-01
2.488519999999999982e+03,6.728450000000000264e-01,8.455350000000000366e-01,8.015366999999999909e-01,8.617354000000000402e-01,8.018794999999999673e-01,7.967063200000000789e-01
2.488769999999999982e+03,7.605625999999999776e-01,7.509656999999999583e-01,6.747838999999999920e-01,7.776612000000000524e-01,8.884081000000000339e-01,7.704762999999998918e-01
2.489019999999999982e+03,7.306607999999999992e-01,7.757796999999999610e-01,7.978587999999999791e-01,8.604644999999999655e-01,9.150648000000000115e-01,8.159657200000000055e-01
2.489269999999999982e+03,8.987559000000000520e-01,8.068699999999999761e-01,7.815471000000000501e-01,8.533834000000000142e-01,8.389564000000000465e-01,8.359025600000000722e-01
2.489519999999999982e+03,8.931432999999999733e-01,8.746327000000000407e-01,9.232268000000000141e-01,9.172590999999999939e-01,9.235141999999999518e-01,9.063552200000000170e-01
2.489769999999999982e+03,7.519033999999999995e-01,8.846926000000000512e-01,9.488351000000000424e-01,7.554553000000000518e-01,9.677637999999999519e-01,8.617300399999999749e-01
2.490009999999999764e+03,9.223921999999999954e-01,8.022131999999999596e-01,8.467620000000000147e-01,9.101226000000000038e-01,9.557398999999999756e-01,8.874459800000000786e-01
2.490260000000000218e+03,1.017883000000000093e+00,9.397908000000000373e-01,9.979308000000000067e-01,9.140317999999999499e-01,9.749366000000000421e-01,9.689146000000000702e-01
2.490510000000000218e+03,9.276071999999999651e-01,9.289771999999999474e-01,1.045724000000000098e+00,9.303048000000000428e-01,9.948432999999999859e-01,9.654913000000000523e-01
2.490759999999999764e+03,9.998365999999999643e-01,9.985756999999999550e-01,9.628636000000000417e-01,9.997878999999999516e-01,9.383704000000000489e-01,9.798868400000000367e-01
2.491010000000000218e+03,1.078241000000000005e+00,9.652690000000000436e-01,1.145242000000000093e+00,9.672963999999999452e-01,8.446451000000000375e-01,1.000138699999999936e+00
2.491260000000000218e+03,1.111385000000000067e+00,1.020143000000000022e+00,1.043701999999999908e+00,1.122007999999999894e+00,1.004801000000000055e+00,1.060407800000000123e+00
2.491509999999999764e+03,1.073882000000000003e+00,1.085585000000000022e+00,1.096368000000000009e+00,1.158072999999999908e+00,1.063283999999999896e+00,1.095438400000000145e+00
2.491760000000000218e+03,1.041315999999999908e+00,1.083727000000000107e+00,1.039705000000000101e+00,1.090017000000000014e+00,1.113191000000000042e+00,1.073591199999999857e+00
2.492010000000000218e+03,1.190495000000000081e+00,1.080346000000000029e+00,1.148976999999999915e+00,1.017614999999999936e+00,1.110724999999999962e+00,1.109631599999999718e+00
2.492259999999999764e+03,1.186180000000000012e+00,1.154743000000000075e+00,1.167214999999999892e+00,1.247047000000000017e+00,1.174036000000000080e+00,1.185844200000000015e+00
2.492509999999999764e+03,1.118783000000000083e+00,1.166690999999999923e+00,1.062356999999999996e+00,1.261484000000000050e+00,1.193991000000000025e+00,1.160661199999999837e+00
2.492760000000000218e+03,1.225371999999999906e+00,1.078869000000000078e+00,1.038902999999999910e+00,1.108525999999999900e+00,1.172503999999999991e+00,1.124834799999999913e+00
2.493019999999999982e+03,1.153953000000000007e+00,1.261746000000000034e+00,1.244785000000000030e+00,1.244337999999999944e+00,1.052273999999999932e+00,1.191419199999999901e+00
2.493269999999999982e+03,1.162919000000000036e+00,1.250313000000000008e+00,1.169893000000000072e+00,1.176236999999999977e+00,1.294442000000000093e+00,1.210760799999999859e+00
2.493519999999999982e+03,1.299897000000000080e+00,1.217805000000000026e+00,1.193052000000000001e+00,1.188037000000000010e+00,1.178990999999999900e+00,1.215556399999999870e+00
2.493769999999999982e+03,1.141766999999999976e+00,1.036419999999999897e+00,1.076222000000000012e+00,9.915696000000000510e-01,1.081355999999999984e+00,1.065466919999999984e+00
2.494019999999999982e+03,1.220876999999999990e+00,1.172720999999999902e+00,1.139739000000000058e+00,1.234437999999999924e+00,1.243106999999999962e+00,1.202176400000000145e+00
2.494270000000000437e+03,1.227832999999999952e+00,1.046637000000000040e+00,1.334689000000000014e+00,1.096181000000000072e+00,1.253263999999999934e+00,1.191720799999999914e+00
2.494519999999999982e+03,1.116449999999999942e+00,1.096459000000000072e+00,1.006537999999999933e+00,1.135218000000000060e+00,1.097671999999999981e+00,1.090467400000000087e+00
2.494769999999999982e+03,1.196812999999999905e+00,1.120235000000000092e+00,1.092764000000000069e+00,1.188236999999999988e+00,1.200469000000000008e+00,1.159703599999999835e+00
2.495019999999999982e+03,1.303349000000000091e+00,1.179990000000000094e+00,1.370557999999999943e+00,1.044988999999999946e+00,1.144530999999999965e+00,1.208683399999999963e+00
2.495269999999999982e+03,1.180469999999999908e+00,1.232043999999999917e+00,1.219586000000000059e+00,1.315530000000000088e+00,1.169359999999999955e+00,1.223397999999999985e+00
2.495530000000000200e+03,1.114821000000000062e+00,1.133734999999999937e+00,1.263087999999999989e+00,1.251829000000000081e+00,1.278437000000000046e+00,1.208381999999999845e+00
2.495779999999999745e+03,1.340529000000000082e+00,1.109056000000000042e+00,1.143113000000000046e+00,1.154800000000000049e+00,1.079695999999999989e+00,1.165438799999999997e+00
2.496030000000000200e+03,1.335449000000000108e+00,1.285306000000000060e+00,1.062971000000000110e+00,1.242291999999999952e+00,1.170039000000000051e+00,1.219211400000000056e+00
2.496280000000000200e+03,1.131021999999999972e+00,1.281179000000000068e+00,1.169909000000000088e+00,1.274065999999999921e+00,1.256199999999999983e+00,1.222475199999999873e+00
2.496529999999999745e+03,1.239351000000000091e+00,1.189170000000000060e+00,1.274421999999999944e+00,1.364957999999999894e+00,1.246267000000000014e+00,1.262833600000000001e+00
2.496789999999999964e+03,1.381078000000000028e+00,1.393113999999999963e+00,1.243408999999999986e+00,1.331112000000000073e+00,1.156571000000000016e+00,1.301056800000000013e+00
2.497039999999999964e+03,1.292326000000000086e+00,1.421578000000000008e+00,1.277878000000000069e+00,1.342303000000000024e+00,1.413515000000000077e+00,1.349520000000000275e+00
2.497289999999999964e+03,1.296985999999999972e+00,1.233835000000000015e+00,1.229864000000000068e+00,1.146871999999999892e+00,1.282289999999999930e+00,1.237969399999999887e+00
2.497539999999999964e+03,1.327188000000000034e+00,1.247565999999999953e+00,1.314346000000000014e+00,9.945150999999999852e-01,1.127536000000000094e+00,1.202230220000000127e+00
2.497789999999999964e+03,1.228957999999999995e+00,1.328843999999999914e+00,1.135399000000000047e+00,1.260920000000000041e+00,1.325064000000000020e+00,1.255837000000000092e+00
2.498050000000000182e+03,1.241068999999999978e+00,1.407845999999999931e+00,1.381629999999999914e+00,1.297638999999999987e+00,1.186585999999999919e+00,1.302954000000000168e+00
2.498300000000000182e+03,1.413839000000000068e+00,1.371890000000000054e+00,1.143432000000000004e+00,1.126317000000000013e+00,1.214391999999999916e+00,1.253973999999999922e+00
2.498549999999999727e+03,1.291306000000000065e+00,1.408293999999999935e+00,1.283725999999999923e+00,1.292075000000000085e+00,1.344300000000000050e+00,1.323940200000000234e+00
2.498800000000000182e+03,1.149008000000000029e+00,1.112033000000000049e+00,1.262801999999999980e+00,1.243465000000000042e+00,1.208552000000000071e+00,1.195171999999999901e+00
2.499059999999999945e+03,1.298823999999999979e+00,1.318403999999999909e+00,1.269188999999999901e+00,1.145926999999999918e+00,1.227549000000000001e+00,1.251978599999999942e+00
2.499309999999999945e+03,1.160203000000000095e+00,1.152212999999999932e+00,1.285609000000000002e+00,1.210719000000000101e+00,1.154080999999999912e+00,1.192564999999999875e+00
2.499559999999999945e+03,1.167429000000000050e+00,1.249201000000000006e+00,1.144897999999999971e+00,1.132144999999999957e+00,1.208064999999999944e+00,1.180347599999999941e+00
2.499820000000000164e+03,1.225807000000000091e+00,1.354381999999999975e+00,1.336769000000000096e+00,1.181645999999999974e+00,1.254517000000000104e+00,1.270624199999999870e+00
2.500070000000000164e+03,1.350125999999999937e+00,1.241708000000000034e+00,1.101502999999999899e+00,1.305647999999999920e+00,1.212580999999999909e+00,1.242313199999999895e+00
2.500319999999999709e+03,1.058791999999999955e+00,1.283409999999999940e+00,1.258691000000000004e+00,1.174609000000000014e+00,1.100208999999999993e+00,1.175142200000000248e+00
2.500579999999999927e+03,1.081685999999999925e+00,1.150317999999999952e+00,1.123409000000000102e+00,1.226064999999999960e+00,1.201721999999999957e+00,1.156639999999999890e+00
2.500829999999999927e+03,1.124192999999999998e+00,1.080405999999999977e+00,1.187605999999999939e+00,1.282192999999999916e+00,1.179357999999999906e+00,1.170751199999999992e+00
2.501079999999999927e+03,1.344918999999999976e+00,1.121183000000000041e+00,1.376332000000000111e+00,1.119162999999999908e+00,1.190040999999999904e+00,1.230327600000000077e+00
2.501339999999999691e+03,1.240213999999999928e+00,1.189834000000000058e+00,1.204828999999999928e+00,1.129072000000000076e+00,1.100360999999999922e+00,1.172861999999999849e+00
2.501590000000000146e+03,1.127247000000000110e+00,1.166781000000000068e+00,1.282488999999999990e+00,1.130498999999999921e+00,1.116365999999999969e+00,1.164676399999999834e+00
2.501849999999999909e+03,1.136641999999999930e+00,1.196318999999999910e+00,1.092084999999999972e+00,1.192355000000000054e+00,1.029214999999999991e+00,1.129323199999999972e+00
2.502099999999999909e+03,1.148497000000000101e+00,1.256134000000000084e+00,9.179692000000000407e-01,1.083808000000000105e+00,1.053814000000000028e+00,1.092044440000000005e+00
2.502349999999999909e+03,1.123728000000000060e+00,9.998593999999999538e-01,1.019706999999999919e+00,1.146126999999999896e+00,1.147019999999999929e+00,1.087288279999999885e+00
2.502609999999999673e+03,1.102373000000000047e+00,1.097010999999999958e+00,1.109348000000000001e+00,1.198445999999999900e+00,9.711068000000000477e-01,1.095656959999999902e+00
2.502860000000000127e+03,1.072260999999999909e+00,1.028412000000000104e+00,1.118012000000000006e+00,9.521688000000000374e-01,1.041487000000000052e+00,1.042468159999999866e+00
