energy,s032,s033,mean
2.494519999999999982e+03,1.010450999999999988e+00,1.216534999999999922e+00,1.113493000000000066e+00
2.494769999999999982e+03,1.076961000000000057e+00,1.156563999999999925e+00,1.116762500000000102e+00
2.495019999999999982e+03,1.215451999999999977e+00,1.159952000000000094e+00,1.187702000000000035e+00
2.495269999999999982e+03,1.175326000000000093e+00,1.088780000000000081e+00,1.132052999999999976e+00
2.495530000000000200e+03,1.195136999999999894e+00,1.304842999999999975e+00,1.249989999999999934e+00
2.495779999999999745e+03,1.080249999999999932e+00,1.057236999999999982e+00,1.068743500000000068e+00
2.496030000000000200e+03,1.315773000000000081e+00,1.124684999999999935e+00,1.220229000000000008e+00
2.496280000000000200e+03,1.061318999999999901e+00,1.111954000000000109e+00,1.086636500000000005e+00
2.496529999999999745e+03,1.199319999999999942e+00,1.213476999999999917e+00,1.206398499999999929e+00
2.496789999999999964e+03,1.180099999999999927e+00,1.150967000000000073e+00,1.165533500000000000e+00
2.497039999999999964e+03,1.251042999999999905e+00,1.260331000000000090e+00,1.255686999999999998e+00
2.497289999999999964e+03,1.202904999999999891e+00,1.232442999999999955e+00,1.217673999999999923e+00
2.497539999999999964e+03,1.173634000000000066e+00,1.267598000000000003e+00,1.220616000000000145e+00
2.497789999999999964e+03,1.031576999999999966e+00,1.284116000000000035e+00,1.157846500000000001e+00
2.498050000000000182e+03,1.120149999999999979e+00,1.218183000000000016e+00,1.169166499999999997e+00
2.498300000000000182e+03,1.111653000000000002e+00,1.141161000000000092e+00,1.126406999999999936e+00
2.498549999999999727e+03,1.210086999999999913e+00,1.168004000000000042e+00,1.189045499999999977e+00
2.498800000000000182e+03,1.071036000000000099e+00,1.176555000000000017e+00,1.123795499999999947e+00
2.499059999999999945e+03,1.043431999999999915e+00,1.063409999999999966e+00,1.053420999999999941e+00
2.499309999999999945e+03,1.240520999999999985e+00,1.061593000000000009e+00,1.151056999999999997e+00
2.499559999999999945e+03,1.321868000000000043e+00,1.066461000000000103e+00,1.194164500000000073e+00
2.499820000000000164e+03,1.131224999999999925e+00,1.074794000000000027e+00,1.103009499999999976e+00
2.500070000000000164e+03,1.064980000000000038e+00,1.097175999999999929e+00,1.081077999999999983e+00
2.500319999999999709e+03,1.086406999999999901e+00,1.134301000000000004e+00,1.110354000000000063e+00
2.500579999999999927e+03,1.162055000000000060e+00,1.213140000000000107e+00,1.187597500000000084e+00
2.500829999999999927e+03,1.102389000000000063e+00,1.083147000000000082e+00,1.092767999999999962e+00
2.501079999999999927e+03,1.236690999999999985e+00,1.283652999999999933e+00,1.260171999999999848e+00
2.501339999999999691e+03,1.250439999999999996e+00,1.094608000000000025e+00,1.172524000000000122e+00
2.501590000000000146e+03,1.277282000000000028e+00,1.145391000000000048e+00,1.211336500000000038e+00
2.501849999999999909e+03,1.056262999999999952e+00,1.161024999999999974e+00,1.108643999999999963e+00
2.502099999999999909e+03,9.777023999999999715e-01,9.765747000000000178e-01,9.771385500000000501e-01
2.502349999999999909e+03,1.109407000000000032e+00,1.012143000000000015e+00,1.060775000000000023e+00
2.502609999999999673e+03,1.118238000000000065e+00,9.981712000000000362e-01,1.058204600000000051e+00
2.502860000000000127e+03,1.045916999999999986e+00,1.086562999999999946e+00,1.066240000000000077e+00
2.503119999999999891e+03,1.054049000000000014e+00,1.092826999999999993e+00,1.073437999999999892e+00
2.503369999999999891e+03,1.031255999999999950e+00,1.003732999999999986e+00,1.017494499999999968e+00
2.503620000000000346e+03,9.883817000000000297e-01,1.015994000000000064e+00,1.002187850000000102e+00
2.503880000000000109e+03,9.332808000000000215e-01,1.020245000000000068e+00,9.767628999999999895e-01
2.504130000000000109e+03,9.691929000000000238e-01,9.980168999999999846e-01,9.836049000000000042e-01
2.504389999999999873e+03,1.018475999999999937e+00,9.022670000000000412e-01,9.603714999999999336e-01
2.504640000000000327e+03,8.941421999999999981e-01,1.023611000000000049e+00,9.588765999999999678e-01
2.504900000000000091e+03,8.949032000000000098e-01,9.508678999999999881e-01,9.228855499999999434e-01
2.505150000000000091e+03,9.378783000000000536e-01,9.380811999999999484e-01,9.379797500000000010e-01
2.505409999999999854e+03,9.934697999999999585e-01,8.137136000000000369e-01,9.035916999999999977e-01
2.505660000000000309e+03,9.496455999999999786e-01,8.871936999999999740e-01,9.184196499999999208e-01
2.505920000000000073e+03,1.015130000000000088e+00,8.580919999999999659e-01,9.366110000000000824e-01
2.506180000000000291e+03,8.088461999999999597e-01,8.951616999999999491e-01,8.520039499999999544e-01
2.506429999999999836e+03,9.291675999999999824e-01,9.972102999999999939e-01,9.631889499999999327e-01
2.506690000000000055e+03,8.403684000000000154e-01,8.588495999999999908e-01,8.496090000000000586e-01
2.506940000000000055e+03,9.487525999999999460e-01,9.041046999999999834e-01,9.264286499999999647e-01
