energy,s031,s032,s033,s034,mean
2.487280000000000200e+03,7.791841000000000461e-01,9.260566999999999549e-01,8.736633000000000315e-01,7.539065000000000349e-01,8.332026500000000446e-01
2.487519999999999982e+03,7.452467000000000397e-01,8.536356999999999973e-01,6.604179999999999495e-01,8.704391000000000211e-01,7.824348749999999741e-01
2.487769999999999982e+03,7.743096000000000423e-01,8.691138999999999948e-01,8.299358999999999487e-01,8.685003999999999502e-01,8.354649499999998730e-01
2.488019999999999982e+03,8.546776999999999846e-01,7.499175000000000146e-01,8.521071999999999536e-01,8.250108999999999915e-01,8.204283249999999583e-01
2.488269999999999982e+03,7.911468000000000389e-01,7.992158999999999791e-01,9.162160999999999778e-01,8.710725000000000273e-01,8.444128249999999225e-01
2.488519999999999982e+03,9.424732000000000109e-01,7.530767999999999907e-01,8.685977999999999755e-01,9.014419000000000182e-01,8.663974249999999433e-01
2.488769999999999982e+03,8.870023000000000213e-01,8.155729000000000450e-01,8.837701999999999503e-01,8.922143999999999631e-01,8.696399499999999394e-01
2.489019999999999982e+03,9.181390999999999858e-01,8.454610000000000181e-01,9.253004000000000229e-01,7.460451000000000166e-01,8.587363999999999553e-01
2.489269999999999982e+03,8.684990999999999683e-01,9.279127999999999821e-01,9.418868999999999714e-01,8.828494000000000064e-01,9.052870499999999820e-01
2.489519999999999982e+03,8.835083999999999715e-01,9.625588000000000477e-01,7.965073000000000292e-01,8.076548000000000060e-01,8.625573250000000414e-01
2.489769999999999982e+03,8.785258000000000234e-01,9.710516999999999621e-01,8.902816999999999537e-01,9.494804000000000022e-01,9.223349000000000686e-01
2.490009999999999764e+03,1.032837000000000005e+00,8.507415999999999867e-01,1.025593999999999895e+00,9.451985999999999999e-01,9.635927999999999161e-01
2.490260000000000218e+03,8.789192000000000116e-01,1.089474999999999971e+00,8.653619999999999646e-01,8.513045999999999669e-01,9.212651999999998953e-01
2.490510000000000218e+03,8.584184000000000259e-01,9.806432000000000482e-01,1.000674999999999981e+00,9.506175999999999515e-01,9.475885500000000849e-01
2.490759999999999764e+03,1.013770999999999978e+00,8.873043999999999931e-01,9.250526999999999500e-01,9.879478000000000426e-01,9.535189750000000464e-01
