energy,s026,s027,s028,s029,s030,s031,mean
2.474720000000000255e+03,4.202608999999999928e-01,5.031138000000000554e-01,4.980026000000000175e-01,5.179017000000000204e-01,4.854984999999999995e-01,5.047376000000000085e-01,4.882525166666666361e-01
2.474960000000000036e+03,4.737288000000000054e-01,4.733312000000000075e-01,5.257197999999999594e-01,3.783022999999999803e-01,4.893208000000000002e-01,4.353079999999999727e-01,4.626184833333333302e-01
2.475210000000000036e+03,4.386511000000000160e-01,4.858273000000000175e-01,4.007976999999999790e-01,4.324463000000000057e-01,3.685039999999999982e-01,4.169392000000000098e-01,4.238609333333333562e-01
2.475449999999999818e+03,4.130952999999999986e-01,4.672937999999999814e-01,4.536367000000000038e-01,3.828212999999999755e-01,4.329876999999999754e-01,3.498649999999999816e-01,4.166166333333332639e-01
2.475699999999999818e+03,4.419810000000000128e-01,4.889835000000000154e-01,4.399116000000000137e-01,4.469107999999999969e-01,4.101244000000000001e-01,4.961549000000000098e-01,4.540110333333333692e-01
2.475940000000000055e+03,5.598999000000000059e-01,5.113098999999999839e-01,4.823816000000000215e-01,5.172117000000000520e-01,5.350856000000000501e-01,4.876766000000000156e-01,5.155942166666666049e-01
2.476190000000000055e+03,5.647853000000000456e-01,5.094128999999999463e-01,5.259899000000000102e-01,4.663746999999999754e-01,4.145770999999999762e-01,4.544464999999999755e-01,4.892643999999999327e-01
2.476430000000000291e+03,5.254550000000000054e-01,5.775586999999999804e-01,5.409869999999999957e-01,4.713301999999999770e-01,5.112360999999999711e-01,3.810251000000000055e-01,5.012653500000000539e-01
2.476670000000000073e+03,4.741214999999999735e-01,6.079554000000000347e-01,4.983023999999999787e-01,5.592808999999999697e-01,4.516735000000000055e-01,5.759113000000000149e-01,5.278741666666667554e-01
2.476919999999999618e+03,5.148196999999999912e-01,5.777938999999999714e-01,5.109987000000000279e-01,5.624424000000000090e-01,5.285090999999999539e-01,6.427104000000000150e-01,5.562123666666666244e-01
2.477159999999999854e+03,6.680310999999999888e-01,5.907194999999999530e-01,6.247106000000000048e-01,6.353531999999999513e-01,5.880073000000000105e-01,6.148997999999999964e-01,6.202869166666666878e-01
2.477409999999999854e+03,6.454119999999999857e-01,6.605628000000000055e-01,6.827999000000000152e-01,6.368972000000000522e-01,6.178067000000000419e-01,5.747851000000000488e-01,6.363772833333333212e-01
2.477650000000000091e+03,6.858142999999999878e-01,7.382545000000000357e-01,6.790469999999999562e-01,6.946409999999999529e-01,6.395262000000000446e-01,6.857172000000000267e-01,6.871667000000000192e-01
2.477900000000000091e+03,7.335669000000000217e-01,8.070188999999999835e-01,7.390451999999999577e-01,7.199381000000000252e-01,6.729465999999999504e-01,7.253507999999999623e-01,7.329777499999999835e-01
2.478139999999999873e+03,7.482083000000000483e-01,7.932344000000000062e-01,7.182585000000000219e-01,7.430438999999999794e-01,8.296797000000000200e-01,7.351286999999999683e-01,7.612589166666666740e-01
2.478389999999999873e+03,7.325294999999999446e-01,7.099592999999999599e-01,7.078624999999999501e-01,7.647840000000000193e-01,7.250284000000000173e-01,5.907809000000000532e-01,7.051574333333334721e-01
2.478630000000000109e+03,7.345795000000000519e-01,7.157421000000000477e-01,7.261526000000000369e-01,6.857929999999999859e-01,6.937531000000000114e-01,7.501446000000000502e-01,7.176941500000001417e-01
