energy,s034,s035,s036,s037,s038,s039,mean
2.484550000000000182e+03,1.057398000000000060e+00,1.125890999999999975e+00,1.072696000000000094e+00,9.295402999999999860e-01,1.072087999999999930e+00,1.087760000000000060e+00,1.057562216666666721e+00
2.484799999999999727e+03,1.129154999999999909e+00,1.073172000000000015e+00,9.403428999999999816e-01,1.070889999999999898e+00,1.036483999999999961e+00,1.058634999999999993e+00,1.051446483333333237e+00
2.485039999999999964e+03,1.024998000000000076e+00,1.000785999999999953e+00,9.643123999999999585e-01,8.977897999999999712e-01,9.985882000000000369e-01,1.020650000000000057e+00,9.845207333333333422e-01
2.485289999999999964e+03,8.770295999999999648e-01,8.219511000000000456e-01,1.025952999999999893e+00,9.458366000000000273e-01,9.670385999999999704e-01,9.196410999999999891e-01,9.262416666666665188e-01
2.485539999999999964e+03,9.843520000000000048e-01,9.885372999999999521e-01,1.012917000000000067e+00,9.316834000000000504e-01,9.550920999999999994e-01,8.676985000000000392e-01,9.567133833333333337e-01
2.485789999999999964e+03,9.317400999999999600e-01,9.024083000000000521e-01,9.199962999999999891e-01,9.367739999999999956e-01,8.843493999999999522e-01,9.537911999999999502e-01,9.215098833333333905e-01
2.486029999999999745e+03,9.468782000000000032e-01,9.669662999999999453e-01,8.943067999999999573e-01,9.556094000000000532e-01,9.679227999999999721e-01,8.641676999999999831e-01,9.326418666666667079e-01
2.486279999999999745e+03,9.147796000000000260e-01,8.654091999999999896e-01,9.398775999999999797e-01,8.191677000000000541e-01,8.149233000000000171e-01,8.887108999999999703e-01,8.738113833333333025e-01
2.486530000000000200e+03,9.610037000000000162e-01,8.207919999999999661e-01,9.559533999999999532e-01,8.827000999999999875e-01,8.912592999999999765e-01,8.862181999999999560e-01,8.996544499999999944e-01
2.486780000000000200e+03,8.800362999999999936e-01,9.409880999999999940e-01,9.113546000000000147e-01,7.754887999999999781e-01,9.061401000000000039e-01,8.739599000000000117e-01,8.813279666666665735e-01
2.487029999999999745e+03,9.095577000000000245e-01,8.814138000000000250e-01,9.159435000000000215e-01,8.814368999999999676e-01,7.977501000000000175e-01,8.329929000000000361e-01,8.698491499999999599e-01
2.487280000000000200e+03,8.458759999999999613e-01,9.318701000000000345e-01,8.667793000000000303e-01,8.569453000000000209e-01,9.510444000000000120e-01,8.438297000000000159e-01,8.827241333333333273e-01
2.487519999999999982e+03,8.233622000000000440e-01,8.637913000000000396e-01,9.239254000000000078e-01,9.757645000000000346e-01,9.183944000000000552e-01,8.506928000000000267e-01,8.926550999999999236e-01
2.487769999999999982e+03,9.479212999999999667e-01,9.102308999999999539e-01,8.588797999999999710e-01,9.527811999999999948e-01,1.017994999999999983e+00,9.230726000000000209e-01,9.351467999999999448e-01
2.488019999999999982e+03,8.110222999999999738e-01,9.190762999999999572e-01,8.224396999999999958e-01,8.464749000000000301e-01,9.099388999999999950e-01,7.897912000000000265e-01,8.497905499999999224e-01
2.488269999999999982e+03,8.296457000000000415e-01,8.659111999999999920e-01,9.522834999999999495e-01,8.515026999999999457e-01,1.003913000000000055e+00,8.036826000000000247e-01,8.844897833333332793e-01
2.488519999999999982e+03,9.409075999999999551e-01,8.284844000000000097e-01,8.867194999999999938e-01,8.895442000000000071e-01,9.692393000000000258e-01,8.817222000000000115e-01,8.994361999999999080e-01
2.488769999999999982e+03,8.771830000000000460e-01,9.294092000000000464e-01,9.165796999999999972e-01,9.044265000000000221e-01,8.269090999999999525e-01,9.073497000000000368e-01,8.936428666666667020e-01
2.489019999999999982e+03,9.509035000000000126e-01,8.601961999999999664e-01,8.605764000000000191e-01,8.384996000000000116e-01,8.176020999999999983e-01,8.615230000000000388e-01,8.648834666666666005e-01
2.489269999999999982e+03,9.330838999999999661e-01,9.569927999999999768e-01,9.813897000000000315e-01,7.926210000000000200e-01,8.500358999999999554e-01,9.454405000000000170e-01,9.099272999999999945e-01
2.489519999999999982e+03,8.387027999999999706e-01,8.545802999999999594e-01,9.089334999999999498e-01,9.165056999999999787e-01,9.336354999999999515e-01,9.148342999999999892e-01,8.945320166666665962e-01
2.489769999999999982e+03,9.655567999999999929e-01,8.940031000000000505e-01,1.006772999999999918e+00,9.384519999999999529e-01,7.963943999999999468e-01,9.641454000000000413e-01,9.275541166666666504e-01
2.490009999999999764e+03,9.661336000000000368e-01,9.984115999999999547e-01,9.426816000000000084e-01,1.007025000000000059e+00,8.675954999999999639e-01,8.482463999999999560e-01,9.383489499999999595e-01
