energy,s012,s013,s014,s015,s016,s017,s018,mean
2.479369999999999891e+03,5.665596999999999994e-01,7.146926999999999586e-01,6.846254000000000506e-01,6.225950000000000095e-01,6.566615000000000091e-01,6.535115000000000229e-01,7.210075000000000234e-01,6.599504714285714391e-01
2.479620000000000346e+03,7.045793000000000195e-01,7.813478999999999841e-01,7.040488999999999775e-01,6.380873999999999713e-01,7.080587000000000408e-01,7.567827000000000304e-01,6.363630999999999593e-01,7.041811428571428388e-01
2.479860000000000127e+03,7.524480000000000057e-01,8.065491999999999662e-01,7.667055000000000398e-01,7.342897999999999925e-01,7.318478000000000483e-01,7.895292000000000421e-01,7.854347000000000412e-01,7.666863142857142099e-01
2.480109999999999673e+03,7.909591000000000260e-01,8.087862999999999580e-01,8.715671999999999864e-01,8.353536000000000294e-01,9.484593000000000051e-01,9.108180000000000165e-01,8.857583999999999458e-01,8.645288428571429318e-01
2.480349999999999909e+03,9.632500999999999980e-01,1.052540000000000031e+00,9.358514999999999473e-01,9.343407999999999713e-01,1.003981999999999930e+00,1.058883999999999936e+00,1.048418000000000072e+00,9.996094857142857615e-01
2.480599999999999909e+03,1.240523999999999960e+00,1.200240999999999891e+00,1.348575999999999997e+00,1.160457000000000072e+00,1.284108000000000027e+00,1.184134000000000020e+00,1.352421000000000095e+00,1.252922999999999787e+00
2.480850000000000364e+03,1.551330000000000098e+00,1.584397000000000055e+00,1.645507999999999971e+00,1.386295999999999973e+00,1.549784999999999968e+00,1.494059000000000026e+00,1.570006999999999930e+00,1.540197428571428606e+00
2.481090000000000146e+03,1.827796999999999894e+00,1.838586000000000054e+00,2.012001999999999846e+00,1.879926999999999904e+00,1.902967999999999993e+00,1.996963000000000044e+00,2.139726000000000017e+00,1.942566999999999933e+00
2.481339999999999691e+03,2.603422000000000125e+00,2.612298000000000009e+00,2.729556999999999789e+00,2.792666000000000093e+00,2.552373999999999921e+00,2.616570999999999980e+00,2.661542999999999992e+00,2.652633000000000241e+00
2.481579999999999927e+03,3.348907000000000078e+00,3.503019000000000105e+00,3.586618000000000084e+00,3.826856999999999953e+00,3.482867000000000157e+00,3.554710000000000036e+00,3.685455999999999843e+00,3.569776285714285624e+00
2.481829999999999927e+03,4.185768999999999629e+00,3.944047999999999998e+00,4.115734999999999921e+00,4.298904000000000281e+00,4.039081000000000365e+00,4.174786000000000108e+00,4.367092000000000418e+00,4.160773571428571849e+00
2.482079999999999927e+03,4.191933999999999827e+00,4.309636000000000244e+00,4.120127000000000095e+00,4.420671999999999713e+00,4.029374999999999929e+00,4.330923000000000300e+00,4.168021000000000420e+00,4.224383999999999695e+00
2.482320000000000164e+03,3.839300000000000157e+00,4.114404000000000394e+00,3.945486999999999966e+00,4.115128000000000341e+00,3.916787999999999936e+00,4.246691000000000216e+00,4.004807999999999701e+00,4.026086571428572292e+00
2.482570000000000164e+03,3.611307000000000045e+00,3.790227999999999930e+00,3.717020000000000213e+00,3.889691000000000010e+00,3.434823999999999877e+00,3.834960000000000147e+00,3.447208999999999968e+00,3.675034142857142694e+00
2.482819999999999709e+03,2.977577000000000140e+00,3.000075999999999965e+00,3.171095000000000219e+00,3.203037000000000134e+00,3.182262999999999842e+00,3.244812000000000030e+00,3.176483999999999863e+00,3.136477714285714313e+00
