energy,s003,s004,s005,s006,s007,s009,s010,s011,mean
2.479620000000000346e+03,4.982563999999999882e-01,6.314326999999999579e-01,7.254707999999999712e-01,5.856038999999999550e-01,5.281344999999999512e-01,5.685274999999999634e-01,6.387639999999999985e-01,6.442723999999999673e-01,6.025577750000000732e-01
2.479860000000000127e+03,6.483090999999999715e-01,6.490466999999999764e-01,7.555391999999999664e-01,6.900787000000000448e-01,7.176517000000000035e-01,5.741889000000000021e-01,7.044297999999999949e-01,6.830509000000000164e-01,6.777868750000000109e-01
2.480109999999999673e+03,6.381911000000000111e-01,8.036096999999999824e-01,8.601777999999999924e-01,8.274299999999999988e-01,7.410198000000000063e-01,6.735352000000000006e-01,7.723290000000000433e-01,7.674284999999999579e-01,7.604651375000001101e-01
2.480349999999999909e+03,1.107237999999999944e+00,9.646818999999999811e-01,1.005964000000000080e+00,9.205090000000000217e-01,1.022597999999999896e+00,8.845832000000000139e-01,1.050885000000000069e+00,9.587478000000000389e-01,9.894008625000000334e-01
2.480599999999999909e+03,1.206808000000000103e+00,1.363703000000000110e+00,1.342921999999999949e+00,1.156933999999999907e+00,1.348163999999999918e+00,1.415566000000000102e+00,1.344143000000000088e+00,1.316262000000000043e+00,1.311812750000000083e+00
2.480850000000000364e+03,1.537546000000000079e+00,1.549776000000000042e+00,1.556937999999999933e+00,1.602236999999999911e+00,1.781560999999999950e+00,1.647675000000000001e+00,1.627350999999999992e+00,1.683818000000000037e+00,1.623362749999999854e+00
2.481090000000000146e+03,2.264063000000000159e+00,2.115517999999999788e+00,2.060258999999999840e+00,2.070066000000000184e+00,2.143740000000000201e+00,2.251339999999999897e+00,2.073262000000000160e+00,2.058729000000000031e+00,2.129622125000000032e+00
2.481339999999999691e+03,3.085503000000000107e+00,2.858769000000000116e+00,2.934736000000000011e+00,3.130592000000000041e+00,3.094793000000000127e+00,3.154952000000000201e+00,3.053207000000000004e+00,2.992316000000000198e+00,3.038108499999999879e+00
2.481579999999999927e+03,4.086915000000000298e+00,4.071663000000000032e+00,3.592525000000000190e+00,4.212098000000000120e+00,3.872993999999999826e+00,4.005107999999999890e+00,4.036192999999999920e+00,4.115393000000000079e+00,3.999111125000000211e+00
2.481829999999999927e+03,4.682515000000000427e+00,4.799560999999999744e+00,4.551883000000000123e+00,4.722285000000000288e+00,4.807790999999999926e+00,5.076767000000000252e+00,4.767038000000000331e+00,4.663726999999999734e+00,4.758945875000000214e+00
