energy,s039,s040,s041,s042,s043,s044,s045,s046,s047,mean
2.473990000000000236e+03,4.930598999999999954e-01,4.822909000000000224e-01,4.602926999999999991e-01,4.512864999999999793e-01,4.917620999999999798e-01,5.177629000000000259e-01,5.018787000000000109e-01,4.619749000000000216e-01,4.262142999999999904e-01,4.762803222222222743e-01
2.474230000000000018e+03,4.073643000000000125e-01,4.203881999999999897e-01,4.885432000000000108e-01,4.239028000000000240e-01,4.946362000000000259e-01,4.535137000000000196e-01,4.268562000000000189e-01,5.158260000000000067e-01,4.800619999999999887e-01,4.567880666666666589e-01
2.474479999999999563e+03,4.320848999999999940e-01,4.845982999999999818e-01,3.999308999999999781e-01,4.203296999999999728e-01,4.354050999999999894e-01,3.920930000000000248e-01,3.998386999999999913e-01,4.447021999999999919e-01,5.124094999999999622e-01,4.357102555555555368e-01
2.474720000000000255e+03,3.094689999999999941e-01,4.062434999999999796e-01,3.894747000000000070e-01,4.434599000000000180e-01,3.690574999999999828e-01,3.902248999999999857e-01,4.585094000000000114e-01,4.356771999999999867e-01,3.498313000000000117e-01,3.946608222222222628e-01
2.474960000000000036e+03,3.450035000000000185e-01,4.278361999999999998e-01,4.314883999999999942e-01,3.827610000000000179e-01,3.539752999999999927e-01,3.727528999999999981e-01,4.423387999999999765e-01,4.121214999999999740e-01,3.276652999999999927e-01,3.884381000000000084e-01
2.475210000000000036e+03,3.522642000000000273e-01,4.334505000000000163e-01,2.622942999999999802e-01,4.165014000000000216e-01,3.450140999999999902e-01,3.279276999999999886e-01,3.463733999999999980e-01,3.696948999999999930e-01,3.357053999999999871e-01,3.543584333333333336e-01
2.475449999999999818e+03,2.754963999999999746e-01,3.482289000000000079e-01,3.740556999999999910e-01,3.860287000000000024e-01,3.646777999999999964e-01,3.599011999999999767e-01,3.830983000000000027e-01,3.685991000000000128e-01,3.196157000000000026e-01,3.533001999999999532e-01
2.475699999999999818e+03,3.817276000000000002e-01,3.859229000000000132e-01,3.635838000000000125e-01,3.319638999999999784e-01,3.034390000000000143e-01,3.449319000000000135e-01,3.698142999999999847e-01,3.779594000000000009e-01,3.510368999999999851e-01,3.567088555555555374e-01
2.475940000000000055e+03,4.151414999999999966e-01,3.935768000000000044e-01,3.520035000000000247e-01,3.387685999999999753e-01,3.367639000000000049e-01,3.709491999999999789e-01,3.831526000000000098e-01,3.384244000000000141e-01,3.683449999999999780e-01,3.663472777777777578e-01
2.476190000000000055e+03,3.631333999999999951e-01,4.512631999999999755e-01,3.629152999999999962e-01,3.563071999999999906e-01,3.812053000000000247e-01,4.051749000000000045e-01,3.550876000000000032e-01,4.045621999999999829e-01,4.167405000000000137e-01,3.884877333333333627e-01
2.476430000000000291e+03,3.009461999999999970e-01,4.223220999999999781e-01,4.354080000000000172e-01,4.046560000000000157e-01,3.741515000000000257e-01,3.728109000000000006e-01,4.679754999999999887e-01,3.843279000000000001e-01,4.016550999999999871e-01,3.960281333333333653e-01
2.476670000000000073e+03,4.402072000000000207e-01,4.758988000000000107e-01,4.234570999999999752e-01,4.095150000000000179e-01,5.060206999999999899e-01,4.707370000000000165e-01,4.219143000000000199e-01,3.955223999999999962e-01,3.931274000000000157e-01,4.373777666666667230e-01
2.476919999999999618e+03,3.871084000000000191e-01,4.791797999999999891e-01,5.116492999999999736e-01,4.575851000000000224e-01,5.487172000000000160e-01,5.291322000000000525e-01,4.778001000000000054e-01,5.006912000000000029e-01,4.245802000000000187e-01,4.796048333333333691e-01
2.477159999999999854e+03,5.212231000000000503e-01,4.960689999999999822e-01,5.879822999999999578e-01,5.785400000000000542e-01,4.811338000000000004e-01,4.155286000000000257e-01,5.936987000000000236e-01,6.046373000000000442e-01,5.278775999999999469e-01,5.340767111111111021e-01
2.477409999999999854e+03,5.867242999999999764e-01,5.904255999999999949e-01,6.062914999999999832e-01,5.981552999999999454e-01,6.079814000000000052e-01,4.820492000000000110e-01,6.228761999999999910e-01,6.435400000000000009e-01,5.499536000000000424e-01,5.875552333333333710e-01
2.477650000000000091e+03,6.441023999999999639e-01,6.236667999999999656e-01,5.996004999999999807e-01,5.749161999999999884e-01,5.716025000000000134e-01,5.858284999999999743e-01,7.449230000000000018e-01,6.092851000000000239e-01,6.928339000000000025e-01,6.274176555555555090e-01
2.477900000000000091e+03,5.881593000000000515e-01,6.652730000000000032e-01,6.903751999999999667e-01,6.578941999999999846e-01,6.855556000000000427e-01,6.637764000000000442e-01,6.670749000000000262e-01,6.792761999999999967e-01,5.987831000000000126e-01,6.551297666666667796e-01
2.478139999999999873e+03,6.603548000000000195e-01,6.871601999999999988e-01,5.893382999999999816e-01,6.888273999999999786e-01,6.838509000000000393e-01,6.838191000000000130e-01,7.624764000000000541e-01,7.046071000000000417e-01,7.182743999999999795e-01,6.865231777777778266e-01
2.478389999999999873e+03,5.826139999999999652e-01,7.007894999999999541e-01,6.477144000000000235e-01,6.249702999999999786e-01,6.970528000000000279e-01,6.929556000000000049e-01,6.862949999999999884e-01,6.696151999999999660e-01,6.520658999999999761e-01,6.615636333333332342e-01
2.478630000000000109e+03,6.284716000000000191e-01,6.118843000000000476e-01,6.397985999999999951e-01,6.490407000000000259e-01,6.975253000000000148e-01,5.981902999999999526e-01,7.363775000000000182e-01,6.243433000000000455e-01,6.764892999999999601e-01,6.513467666666667988e-01
